ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
FG,"F&G Annuities & Life, Inc.",Financial Services,$42.17,2.0%,0.7%,$0.83,"$5,323",16.8,34.3%,1.91,$48.16,$25.57
FGEN,FIBROGEN INC,Healthcare,$0.40,0.0%,0.0%,$0.00,$40,N/A,0.0%,1.47,$2.93,$0.33
FHTX,Foghorn Therapeutics Inc.,N/A,$7.95,0.0%,0.0%,$0.00,$443,N/A,0.0%,1.74,$8.44,$2.70
FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financial Services,$30.74,6.1%,6.8%,$1.88,"$3,213",12.7,77.5%,0.67,$32.46,$19.38
FIGS,"FIGS, Inc.",N/A,$5.90,0.0%,0.0%,$0.00,"$1,008",54.0,0.0%,1.55,$7.98,$4.30
FIHL,Fidelis Insurance Holdings Ltd,N/A,$18.75,1.0%,0.2%,$0.20,"$2,210",1.0,1.9%,0.27,$20.40,$11.41
FIP,FTAI Infrastructure Inc.,N/A,$9.27,1.0%,0.5%,$0.12,$923,N/A,N/A,1.22,$10.42,$2.78
FISI,FINANCIAL INSTITUTIONS INC,Financial Services,$26.00,4.6%,4.9%,$1.20,$401,8.0,38.7%,0.58,$27.75,$14.49
FIX,COMFORT SYSTEMS USA INC,Industrials,$338.78,0.4%,0.2%,$1.10,"$12,077",28.3,8.6%,1.12,$352.11,$151.30
FIZZ,NATIONAL BEVERAGE CORP,Consumer Defensive,$45.87,7.0%,4.0%,$3.25,"$4,290",24.3,0.0%,0.72,$53.48,$40.26
FL,"FOOT LOCKER, INC.",Consumer Cyclical,$32.70,5.0%,3.8%,$1.60,"$3,098",N/A,N/A,1.02,$35.60,$16.28
FLGT,"Fulgent Genetics, Inc.",Healthcare,$23.79,0.0%,0.0%,$0.00,$721,N/A,0.0%,1.15,$34.36,$18.91
FLIC,FIRST OF LONG ISLAND CORP,Financial Services,$12.84,6.5%,6.9%,$0.84,$289,13.1,85.7%,0.49,$13.60,$9.11
FLL,FULL HOUSE RESORTS INC,Consumer Cyclical,$5.07,0.0%,0.0%,$0.00,$176,N/A,0.0%,1.58,$5.98,$3.40
FLNC,"Fluence Energy, Inc.",N/A,$19.59,0.0%,0.0%,$0.00,"$3,534",N/A,0.0%,2.22,$28.14,$12.74
FLNG,Flex LNG Ltd.,Energy,$27.33,0.0%,7.6%,$3.00,"$1,469",12.2,151.0%,0.82,$30.52,$24.16
FLR,FLUOR CORP,Industrials,$49.62,0.0%,0.2%,$0.62,"$8,499",22.5,9.9%,1.03,$51.64,$32.31
FLWS,1 800 FLOWERS COM INC,Consumer Cyclical,$9.50,0.0%,0.0%,$0.00,$609,N/A,0.0%,1.34,$11.42,$5.98
FLYW,Flywire Corp,N/A,$17.59,0.0%,0.0%,$0.00,"$2,202",N/A,0.0%,1.78,$35.01,$15.19
FMAO,FARMERS & MERCHANTS BANCORP INC,Financial Services,$26.65,3.3%,3.2%,$0.87,$372,17.4,54.4%,0.62,$28.75,$16.35
FMBH,"FIRST MID BANCSHARES, INC.",Financial Services,$39.99,2.4%,2.3%,$0.93,$955,13.0,28.7%,0.52,$40.48,$25.01
FMNB,FARMERS NATIONAL BANC CORP /OH/,Financial Services,$15.19,4.0%,4.0%,$0.68,$571,11.2,49.8%,0.50,$16.32,$9.98
FN,Fabrinet,Technology,$267.50,0.0%,0.0%,$0.00,"$9,665",32.1,0.0%,1.27,$278.38,$146.65
FNA,"Paragon 28, Inc.",N/A,$8.55,0.0%,0.0%,$0.00,$715,N/A,0.0%,1.20,$14.88,$5.55
FNKO,"Funko, Inc.",Consumer Cyclical,$10.58,0.0%,0.0%,$0.00,$571,N/A,0.0%,1.88,$10.68,$5.36
FNLC,"First Bancorp, Inc /ME/",Financial Services,$27.61,5.2%,5.4%,$1.41,$308,10.3,59.5%,0.51,$29.75,$21.15
FOA,Finance of America Companies Inc.,N/A,$7.04,0.0%,0.0%,$0.00,$70,N/A,0.0%,0.70,$16.30,$4.10
FOLD,"AMICUS THERAPEUTICS, INC.",Healthcare,$11.77,0.0%,0.0%,$0.00,"$3,488",N/A,0.0%,0.87,$14.57,$9.02
FOR,Forestar Group Inc.,Real Estate,$31.44,0.0%,0.0%,$0.00,"$1,591",8.2,0.0%,1.10,$40.92,$22.71
FORM,FORMFACTOR INC,Technology,$51.41,0.0%,0.0%,$0.00,"$3,979",32.8,0.0%,1.35,$63.63,$30.64
FORR,"FORRESTER RESEARCH, INC.",Industrials,$18.37,0.0%,0.0%,$0.80,$351,243.8,0.0%,0.89,$31.67,$16.14
FOSL,"Fossil Group, Inc.",Consumer Cyclical,$1.23,0.0%,0.0%,$0.00,$65,N/A,N/A,1.78,$2.30,$0.75
FOXF,FOX FACTORY HOLDING CORP,Consumer Cyclical,$41.22,0.0%,0.0%,$0.00,"$1,718",41.6,0.0%,1.31,$112.85,$37.48
FPI,Farmland Partners Inc.,Real Estate,$10.18,4.0%,2.6%,$0.45,$490,27.6,115.1%,0.71,$12.78,$9.64
FRBA,First Bank-Hamilton NJ,Financial Services,$15.45,2.0%,1.3%,$0.24,$301,11.1,N/A,0.62,$15.66,$10.32
FRGE,"Forge Global Holdings, Inc.",N/A,$1.50,0.0%,0.0%,$0.00,$273,N/A,0.0%,1.20,$4.02,$1.17
FRME,FIRST MERCHANTS CORP,Financial Services,$38.40,3.6%,3.7%,$1.37,"$2,248",12.2,44.6%,0.59,$42.45,$24.89
FRPH,"FRP HOLDINGS, INC.",Real Estate,$29.51,0.0%,0.0%,$3.00,$564,75.4,40.6%,0.58,$32.50,$26.60
FRSH,Freshworks Inc.,N/A,$11.95,0.0%,0.0%,$0.00,"$3,610",N/A,0.0%,1.64,$24.98,$10.96
FRST,Primis Financial Corp.,N/A,$12.24,3.0%,3.4%,$0.40,$302,58.1,190.0%,0.59,$13.40,$7.27
FSBC,FIVE STAR BANCORP,Financial Services,$29.82,3.0%,1.7%,$0.80,$636,14.7,33.8%,0.76,$30.56,$17.86
FSBW,"FS Bancorp, Inc.",Financial Services,$44.94,2.0%,1.8%,$1.04,$348,9.7,22.0%,0.49,$45.11,$27.20
FSLY,"Fastly, Inc.",Technology,$6.38,0.0%,0.0%,$0.00,$884,N/A,0.0%,2.23,$25.87,$5.52
FSR,,N/A,$16.99,0.0%,0.0%,$0.16,$624,5236.6,N/A,0.90,,
FSS,FEDERAL SIGNAL CORP /DE/,Industrials,$93.92,0.0%,0.4%,$0.46,"$5,745",28.4,13.3%,0.96,$102.05,$56.06
FTAI,FTAI Aviation Ltd.,Industrials,$121.75,1.0%,1.2%,$1.20,"$12,443",N/A,N/A,1.40,$122.71,$32.04
FTCI,"FTC Solar, Inc.",N/A,$0.25,0.0%,0.0%,$0.00,$31,N/A,0.0%,2.04,$2.11,$0.18
FTDR,"Frontdoor, Inc.",Consumer Cyclical,$48.55,0.0%,0.0%,$0.00,"$3,713",18.4,0.0%,0.81,$48.71,$28.26
FUBO,fuboTV Inc. /FL,N/A,$2.08,0.0%,0.0%,$0.00,$682,N/A,0.0%,2.44,$3.82,$1.10
FUL,FULLER H B CO,Basic Materials,$83.37,1.1%,0.9%,$0.85,"$4,549",27.6,27.5%,1.03,$87.67,$64.11
FULT,FULTON FINANCIAL CORP,Financial Services,$19.29,3.5%,3.7%,$0.67,"$3,507",12.4,42.5%,0.73,$20.33,$11.28
FVCB,"FVCBankcorp, Inc.",Financial Services,$12.41,0.0%,0.0%,$0.00,$229,51.4,0.0%,0.28,$15.39,$9.78
FWRD,FORWARD AIR CORP,Industrials,$32.03,3.0%,3.4%,$0.96,$887,N/A,N/A,0.90,$79.22,$11.21
FWRG,"First Watch Restaurant Group, Inc.",N/A,$17.20,0.0%,0.0%,$0.00,"$1,040",43.0,0.0%,1.14,$25.98,$14.05
GABC,"GERMAN AMERICAN BANCORP, INC.",Financial Services,$40.22,2.7%,2.4%,$1.06,"$1,194",14.5,37.1%,0.40,$42.47,$24.04
GAMB,Gambling.com Group Ltd,N/A,$10.15,0.0%,0.0%,$0.00,$378,16.6,0.0%,0.38,$14.50,$7.52
GATX,GATX CORP,Industrials,$140.61,1.6%,1.6%,$2.26,"$5,003",21.1,34.9%,0.82,$151.33,$95.88
GBCI,"GLACIER BANCORP, INC.",Financial Services,$47.02,3.0%,3.3%,$1.32,"$5,326",28.9,80.1%,0.76,$47.58,$25.83
GBIO,Generation Bio Co.,N/A,$2.65,0.0%,0.0%,$0.00,$177,N/A,0.0%,1.91,$5.50,$0.86
GBTG,"Global Business Travel Group, Inc.",N/A,$7.18,0.0%,0.0%,$0.00,"$3,398",N/A,0.0%,0.35,$7.20,$4.49
GBX,GREENBRIER COMPANIES INC,Industrials,$47.80,3.0%,2.5%,$1.20,"$1,488",12.1,36.8%,1.22,$57.31,$31.16
GCBC,GREENE COUNTY BANCORP INC,Financial Services,$32.29,1.0%,0.6%,$0.33,$557,22.7,12.9%,-0.04,$37.14,$22.08
GCI,"Gannett Co., Inc.",Communication Services,$4.89,0.0%,4.2%,$2.38,$722,N/A,0.0%,1.19,$5.09,$1.66
GCMG,GCM Grosvenor Inc.,N/A,$10.88,4.0%,2.7%,$0.44,"$2,052",127.6,577.1%,0.88,$11.47,$7.17
GCO,GENESCO INC,Consumer Cyclical,$31.21,0.0%,0.0%,$0.00,$363,N/A,0.0%,1.38,$37.89,$23.21
GDEN,"GOLDEN ENTERTAINMENT, INC.",Consumer Cyclical,$31.63,8.0%,1.8%,$2.50,$896,3.3,23.7%,1.09,$41.48,$27.42
GDOT,GREEN DOT CORP,Financial Services,$11.22,0.0%,0.0%,$0.00,$602,N/A,0.0%,1.29,$15.32,$7.30
GDYN,"GRID DYNAMICS HOLDINGS, INC.",Technology,$13.92,0.0%,0.0%,$0.00,"$1,066",N/A,0.0%,1.63,$14.70,$9.07
GEF,"GREIF, INC",Consumer Cyclical,$63.78,3.3%,3.2%,$2.08,"$3,007",11.1,46.5%,0.74,$72.10,$55.95
GEFB,"GREIF, INC",N/A,$65.93,3.0%,4.6%,$3.11,"$3,007",11.1,46.5%,0.77,$73.12,$59.63
GENC,GENCOR INDUSTRIES INC,Industrials,$20.16,0.0%,0.0%,$0.05,$295,18.2,0.0%,0.32,$24.88,$13.50
GEO,GEO GROUP INC,Real Estate,$14.22,0.0%,4.1%,$2.03,"$1,986",49.8,0.0%,0.43,$18.05,$6.94
GERN,GERON CORP,Healthcare,$4.54,0.0%,0.0%,$0.00,"$2,737",N/A,0.0%,0.91,$5.34,$1.64
GES,GUESS INC,Consumer Cyclical,$21.54,16.0%,5.4%,$3.45,"$1,172",5.3,82.7%,1.34,$30.03,$18.02
GEVO,"Gevo, Inc.",Basic Materials,$0.81,0.0%,0.0%,$0.00,$195,N/A,0.0%,1.79,$1.43,$0.48
GFF,GRIFFON CORP,Industrials,$66.99,0.9%,2.1%,$0.58,"$3,297",17.4,18.6%,1.04,$77.81,$38.04
GH,"Guardant Health, Inc.",Healthcare,$29.01,0.0%,0.0%,$0.00,"$3,570",N/A,0.0%,1.79,$41.06,$15.81
GHC,Graham Holdings Co,Consumer Defensive,$789.96,1.0%,0.9%,$6.81,"$3,476",26.0,25.4%,0.64,$822.18,$558.56
GIC,GLOBAL INDUSTRIAL Co,N/A,$33.94,3.0%,4.7%,$0.95,"$1,296",18.6,49.6%,1.09,$46.27,$29.89
GIII,G III APPAREL GROUP LTD /DE/,Consumer Cyclical,$26.55,0.0%,0.0%,$0.00,"$1,194",N/A,0.0%,1.43,$35.68,$18.47
GKOS,GLAUKOS Corp,Healthcare,$132.88,0.0%,0.0%,$0.00,"$7,302",N/A,0.0%,1.19,$133.34,$59.22
GLDD,Great Lakes Dredge & Dock CORP,Industrials,$9.07,0.0%,0.0%,$0.31,$609,13.8,0.0%,0.79,$9.93,$6.12
GLNG,GOLAR LNG LTD,Energy,$32.84,3.0%,0.8%,$1.00,"$3,434",N/A,N/A,0.87,$36.52,$19.52
GLRE,"GREENLIGHT CAPITAL RE, LTD.",Financial Services,$13.80,0.0%,0.0%,$0.00,$489,7.4,0.0%,0.49,$13.96,$10.45
GLT,Glatfelter Corp,Basic Materials,$1.89,0.0%,22.8%,$0.56,$86,N/A,0.0%,1.74,$2.71,$1.22
GLUE,"Monte Rosa Therapeutics, Inc.",N/A,$6.34,0.0%,0.0%,$0.00,$388,N/A,0.0%,2.11,$8.84,$2.44
GMRE,Global Medical REIT Inc.,Real Estate,$9.35,9.0%,9.2%,$0.84,$613,N/A,1136.5%,1.04,$10.94,$7.80
GMS,GMS Inc.,Industrials,$95.38,0.0%,0.0%,$0.00,"$3,782",13.7,0.0%,1.37,$101.04,$56.58
GNE,Genie Energy Ltd.,Utilities,$16.48,2.0%,1.7%,$0.30,$443,57.6,102.4%,0.07,$30.48,$13.93
GNK,GENCO SHIPPING & TRADING LTD,Industrials,$17.19,8.0%,5.9%,$1.32,$734,N/A,N/A,0.66,$22.67,$11.81
GNL,"Global Net Lease, Inc.",Real Estate,$8.58,12.8%,19.6%,$1.26,"$1,977",N/A,N/A,0.93,$9.95,$6.28
GNLX,GENELUX Corp,N/A,$2.27,0.0%,0.0%,$0.00,$78,N/A,0.0%,0.02,$30.44,$1.60
GNTY,GUARANTY BANCSHARES INC /TX/,Financial Services,$32.98,3.0%,2.8%,$0.94,$381,14.5,40.9%,0.35,$35.75,$25.70
GNW,GENWORTH FINANCIAL INC,Financial Services,$6.82,0.0%,0.0%,$0.40,"$2,946",92.1,39.7%,0.67,$6.94,$5.33
GOCO,"GoHealth, Inc.",N/A,$9.93,0.0%,0.0%,$0.00,$227,N/A,N/A,2.06,$18.92,$7.27
GOGL,Golden Ocean Group Ltd,Industrials,$12.25,7.0%,9.2%,$0.80,"$2,443",21.8,89.1%,0.34,$15.43,$6.43
GOGO,Gogo Inc.,Communication Services,$7.71,0.0%,0.0%,$0.00,$979,14.7,0.0%,0.90,$12.79,$6.79
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,$67.00,1.0%,1.0%,$0.82,"$4,142",21.8,28.7%,0.92,$74.77,$48.92
GOOD,GLADSTONE COMMERCIAL CORP,Real Estate,$14.76,8.1%,9.7%,$1.20,$628,N/A,530.2%,0.89,$15.21,$10.51
GORV,"Lazydays Holdings, Inc.",N/A,$1.94,0.0%,0.0%,$0.00,$28,N/A,N/A,0.82,$11.92,$1.75
GPI,GROUP 1 AUTOMOTIVE INC,Consumer Cyclical,$369.36,0.0%,0.4%,$1.84,"$4,949",8.9,4.5%,0.87,$373.19,$227.72
GPMT,Granite Point Mortgage Trust Inc.,Real Estate,$2.58,23.0%,32.1%,$0.60,$131,N/A,N/A,1.13,$5.91,$2.49
GPOR,GULFPORT ENERGY CORP,Energy,$142.28,0.0%,0.0%,$0.00,"$2,576",3.4,0.5%,0.51,$165.19,$110.42
GPRE,Green Plains Inc.,Basic Materials,$14.04,0.0%,0.0%,$0.48,$908,N/A,N/A,0.86,$34.62,$12.77
GPRO,"GoPro, Inc.",Technology,$1.34,0.0%,0.0%,$0.00,$205,N/A,0.0%,1.46,$3.94,$1.16
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,$79.90,0.0%,0.0%,$0.00,"$3,549",10.6,0.8%,1.65,$80.33,$37.31
GRC,GORMAN RUPP CO,Industrials,$39.33,1.8%,1.8%,$0.72,"$1,031",30.2,54.8%,0.68,$42.04,$28.26
GRND,Grindr Inc.,N/A,$12.44,0.0%,0.0%,$0.00,"$2,188",N/A,0.0%,-0.19,$12.83,$5.02
GRNT,"Granite Ridge Resources, Inc.",N/A,$6.50,7.0%,2.4%,$0.44,$866,15.2,102.2%,0.15,$7.66,$5.02
GRPH,"Graphite Bio, Inc.",N/A,$22.50,0.0%,0.0%,$0.00,$0,N/A,N/A,-50.67,,
GRTS,"Gritstone bio, Inc.",Healthcare,$0.50,0.0%,0.0%,$0.00,$59,N/A,0.0%,1.75,$3.33,$0.45
GRWG,GrowGeneration Corp.,Consumer Cyclical,$2.30,0.0%,0.0%,$0.00,$136,N/A,0.0%,2.83,$3.78,$1.77
GSAT,"Globalstar, Inc.",Communication Services,$1.48,0.0%,0.0%,$0.00,"$2,812",N/A,N/A,1.26,$2.13,$1.01
GSBC,"GREAT SOUTHERN BANCORP, INC.",Financial Services,$60.18,3.0%,3.1%,$1.60,$703,11.8,31.9%,0.35,$65.90,$44.34
GSHD,"Goosehead Insurance, Inc.",Financial Services,$80.29,0.0%,0.7%,$1.63,"$2,968",159.8,27.6%,2.00,$92.76,$50.47
GT,GOODYEAR TIRE & RUBBER CO /OH/,Consumer Cyclical,$8.89,0.0%,0.8%,$0.64,"$2,516",N/A,0.0%,1.68,$15.24,$7.63
GTLS,CHART INDUSTRIES INC,Industrials,$123.66,0.0%,0.0%,$0.00,"$5,291",30.6,22.7%,0.98,$184.65,$106.88
GTN,GRAY TELEVISION INC,Communication Services,$5.22,6.0%,4.3%,$0.32,$519,57.7,137.7%,0.92,$9.78,$4.15
GTXI,,N/A,$4.76,0.0%,0.0%,$0.00,$15,N/A,0.0%,2.25,$13.14,$3.25
GTY,GETTY REALTY CORP /MD/,Real Estate,$31.60,5.7%,5.4%,$1.78,"$1,710",25.9,144.3%,0.60,$32.33,$24.70
GVA,GRANITE CONSTRUCTION INC,Industrials,$73.69,1.0%,0.8%,$0.52,"$3,220",36.0,25.8%,1.06,$74.57,$33.51
GWH,"ESS Tech, Inc.",N/A,$0.53,0.0%,0.0%,$0.00,$97,N/A,0.0%,1.68,$2.11,$0.52
GWRS,"Global Water Resources, Inc.",Utilities,$12.23,2.5%,2.5%,$0.30,$296,47.8,117.0%,0.72,$13.32,$9.14
HA,HAWAIIAN HOLDINGS INC,Industrials,$17.37,0.0%,0.6%,$0.48,$904,N/A,0.0%,1.55,$17.75,$3.70
HAE,HAEMONETICS CORP,Healthcare,$76.31,0.0%,0.0%,$0.00,"$3,902",34.0,0.0%,0.76,$97.97,$70.74
HAFC,HANMI FINANCIAL CORP,Financial Services,$20.28,5.0%,4.6%,$1.00,$614,9.2,45.6%,0.75,$20.64,$13.06
HAIN,HAIN CELESTIAL GROUP INC,Consumer Defensive,$6.48,0.0%,0.0%,$0.00,$581,N/A,0.0%,0.87,$12.76,$5.69
HALO,"HALOZYME THERAPEUTICS, INC.",Healthcare,$62.68,0.0%,0.0%,$0.00,"$7,945",23.6,0.0%,0.88,$62.86,$32.83
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Real Estate,$33.28,5.0%,0.0%,$0.00,"$3,882",14.9,68.5%,2.98,$34.00,$28.31
HAYN,HAYNES INTERNATIONAL INC,Industrials,$60.31,1.0%,1.5%,$0.88,$770,20.5,30.2%,1.26,$60.63,$40.66
HBCP,"HOME BANCORP, INC.",Financial Services,$44.10,2.0%,2.4%,$1.00,$355,9.7,22.4%,0.49,$45.19,$30.65
HBI,Hanesbrands Inc.,Consumer Cyclical,$6.31,0.0%,8.1%,$0.60,"$2,219",N/A,0.0%,1.20,$6.63,$3.54
HBIO,HARVARD BIOSCIENCE INC,Healthcare,$2.96,0.0%,0.0%,$0.00,$130,N/A,0.0%,1.01,$5.56,$2.70
HBNC,HORIZON BANCORP INC /IN/,Financial Services,$15.82,4.0%,4.1%,$0.64,$690,36.1,148.1%,0.62,$16.62,$8.88
HBT,"HBT Financial, Inc.",Financial Services,$22.64,3.0%,3.0%,$0.74,$717,10.0,32.2%,0.52,$24.62,$16.77
HCAT,"Health Catalyst, Inc.",Healthcare,$7.27,0.0%,0.0%,$0.00,$440,N/A,0.0%,2.07,$12.05,$5.42
HCC,"WARRIOR MET COAL, INC.",Basic Materials,$58.28,1.0%,1.3%,$0.81,"$3,041",7.2,10.3%,0.34,$75.43,$37.61
HCI,"HCI Group, Inc.",Financial Services,$94.76,2.0%,1.8%,$1.60,$995,6.5,12.7%,0.63,$120.59,$48.00
HCKT,"HACKETT GROUP, INC.",Technology,$26.04,2.0%,1.5%,$0.44,$720,20.7,34.6%,0.95,$27.68,$20.13
HCSG,HEALTHCARE SERVICES GROUP INC,Healthcare,$10.91,0.0%,5.5%,$0.85,$801,24.6,0.0%,0.54,$13.00,$8.75
HDSN,HUDSON TECHNOLOGIES INC /NY,Basic Materials,$8.32,0.0%,0.0%,$0.00,$379,10.3,0.0%,0.56,$15.24,$6.94
HEAR,Turtle Beach Corp,Technology,$15.54,0.0%,0.0%,$0.00,$324,N/A,0.0%,1.47,$18.45,$7.97
HEES,"H&E Equipment Services, Inc.",Industrials,$48.59,2.0%,2.5%,$1.10,"$1,773",11.0,24.8%,1.36,$65.79,$37.42
HELE,HELEN OF TROY LTD,Consumer Defensive,$53.35,0.0%,0.0%,$0.00,"$1,217",8.0,0.0%,1.02,$127.83,$48.05
HFFG,HF Foods Group Inc.,Consumer Defensive,$3.58,0.0%,0.0%,$0.00,$186,47.3,0.0%,1.22,$5.91,$2.46
HFWA,HERITAGE FINANCIAL CORP /WA/,Financial Services,$22.96,4.0%,4.1%,$0.91,$793,17.9,70.8%,0.51,$23.56,$14.76
HGV,Hilton Grand Vacations Inc.,Consumer Cyclical,$38.31,0.0%,0.0%,$0.00,"$3,889",24.6,0.0%,1.26,$49.02,$33.14
HI,"Hillenbrand, Inc.",Industrials,$33.60,2.6%,2.3%,$0.89,"$2,357",N/A,N/A,1.19,$50.31,$32.65
HIBB,HIBBETT INC,Consumer Cyclical,$87.50,1.0%,0.7%,$1.00,"$1,063",10.7,12.2%,1.52,,
HIFS,Hingham Institution for Savings,Financial Services,$257.50,1.0%,0.9%,$2.52,N/A,N/A,N/A,0.76,$261.00,$145.64
HIMS,"Hims & Hers Health, Inc.",N/A,$16.71,0.0%,0.0%,$0.00,"$3,632",201.1,0.0%,1.82,$25.74,$5.65
HIPO,Hippo Holdings Inc.,N/A,$19.56,0.0%,0.0%,$0.00,$487,N/A,N/A,1.34,$25.49,$6.65
HL,HECLA MINING CO/DE/,Basic Materials,$6.20,0.0%,0.5%,$0.03,"$3,897,941",N/A,N/A,1.03,$6.35,$3.32
HLF,HERBALIFE LTD.,Consumer Defensive,$8.65,0.0%,0.0%,$0.60,$871,10.6,0.0%,0.68,$15.89,$6.68
HLIO,"HELIOS TECHNOLOGIES, INC.",Industrials,$43.76,1.0%,0.9%,$0.45,"$1,450",49.0,40.2%,0.92,$58.78,$37.28
HLIT,HARMONIC INC,Technology,$14.41,0.0%,0.0%,$0.25,"$1,676",29.6,0.0%,0.96,$15.31,$8.80
HLLY,Holley Inc.,N/A,$3.27,0.0%,0.0%,$0.00,$392,17.2,0.0%,0.68,$5.98,$2.94
HLMN,Hillman Solutions Corp.,N/A,$9.67,0.0%,0.0%,$0.00,"$3,780",625.7,0.0%,0.99,$10.85,$6.02
HLNE,Hamilton Lane INC,Financial Services,$151.44,1.0%,1.1%,$1.82,"$8,151",48.3,42.0%,1.43,$151.65,$77.69
HLVX,"HilleVax, Inc.",N/A,$1.93,0.0%,0.0%,$0.00,$97,N/A,0.0%,1.78,$20.22,$1.55
HLX,HELIX ENERGY SOLUTIONS GROUP INC,Energy,$11.04,0.0%,0.0%,$0.00,"$1,680",N/A,0.0%,1.02,$13.05,$8.82
HMN,HORACE MANN EDUCATORS CORP /DE/,Financial Services,$34.42,4.0%,3.7%,$1.34,"$1,404",17.2,67.1%,0.39,$38.86,$26.69
HMST,"HomeStreet, Inc.",Financial Services,$15.69,4.0%,5.1%,$0.65,$296,N/A,N/A,1.29,$15.88,$4.14
HNI,HNI CORP,Industrials,$53.04,2.5%,2.5%,$1.30,"$2,499",21.9,54.3%,0.96,$55.77,$29.49
HNRG,HALLADOR ENERGY CO,Energy,$6.01,0.0%,0.3%,$0.16,$256,N/A,0.0%,-0.22,$15.79,$4.33
HOFT,HOOKER FURNISHINGS Corp,Consumer Cyclical,$15.62,6.0%,5.3%,$0.91,$165,38.2,224.1%,0.74,$26.46,$13.09
HOMB,HOME BANCSHARES INC,Financial Services,$27.89,2.8%,2.4%,$0.74,"$5,569",14.4,37.6%,0.74,$28.77,$19.01
HONE,HarborOne Bancorp Inc,Financial Services,$13.12,2.0%,1.6%,$0.31,$768,53.6,N/A,0.36,$14.00,$8.87
HOPE,HOPE BANCORP INC,Financial Services,$12.85,4.0%,4.5%,$0.56,"$1,550",14.4,62.5%,0.65,$13.43,$7.72
HOUS,Anywhere Real Estate Inc.,N/A,$5.12,0.0%,0.4%,$0.36,$570,N/A,0.0%,1.91,$8.40,$3.01
HOV,HOVNANIAN ENTERPRISES INC,Consumer Cyclical,$226.85,0.0%,0.0%,$0.00,"$1,369",4.2,4.7%,2.58,$240.34,$65.22
HP,"Helmerich & Payne, Inc.",Energy,$33.47,3.0%,4.1%,$1.26,"$3,303",9.5,50.6%,1.22,$44.48,$31.09
HPK,"HighPeak Energy, Inc.",N/A,$15.49,1.0%,0.5%,$0.13,"$1,971",11.6,10.7%,0.56,$18.30,$12.14
HPP,"Hudson Pacific Properties, Inc.",Real Estate,$5.55,2.0%,14.8%,$0.10,$784,N/A,N/A,1.23,$9.68,$4.22
HQI,"HireQuest, Inc.",Industrials,$13.31,2.0%,1.6%,$0.24,$186,36.1,64.9%,0.86,$19.91,$11.35
HQY,"HEALTHEQUITY, INC.",Healthcare,$76.69,0.0%,0.0%,$0.00,"$6,667",82.9,0.0%,0.07,$88.26,$61.81
HRI,HERC HOLDINGS INC,Industrials,$146.53,2.0%,1.0%,$2.63,"$4,156",12.3,21.8%,1.57,$169.38,$98.26
HRMY,"Harmony Biosciences Holdings, Inc.",N/A,$36.39,0.0%,0.0%,$0.00,"$2,067",17.9,0.0%,0.82,$39.27,$18.61
HROW,"HARROW, INC.",Healthcare,$42.71,0.0%,0.0%,$0.00,"$1,515",N/A,0.0%,0.91,$43.24,$7.60
HRT,HireRight Holdings Corp,N/A,$14.36,0.0%,0.0%,$0.00,$967,N/A,0.0%,1.37,,
HRTX,"HERON THERAPEUTICS, INC. /DE/",Healthcare,$1.94,0.0%,0.0%,$0.00,$296,N/A,0.0%,2.06,$3.93,$0.50
HSHP,Himalaya Shipping Ltd.,N/A,$7.57,3.0%,0.7%,$0.26,$331,218.9,0.0%,0.35,$9.58,$4.17
HSII,HEIDRICK & STRUGGLES INTERNATIONAL INC,Industrials,$37.33,2.0%,1.7%,$0.60,$758,19.6,32.8%,0.96,$41.77,$22.09
HSTM,HEALTHSTREAM INC,Healthcare,$28.78,0.0%,0.1%,$0.13,$875,49.0,18.1%,0.57,$31.12,$20.36
HTBI,"HomeTrust Bancshares, Inc.",Financial Services,$35.55,1.0%,1.1%,$0.44,$625,12.4,13.1%,0.54,$36.27,$19.06
HTBK,HERITAGE COMMERCE CORP,Financial Services,$10.05,5.0%,5.1%,$0.52,$615,12.7,65.5%,0.43,$10.84,$7.35
HTH,Hilltop Holdings Inc.,Financial Services,$33.05,2.0%,1.8%,$0.67,"$2,145",18.9,35.1%,0.79,$35.13,$26.19
HTLD,HEARTLAND EXPRESS INC,Industrials,$12.38,1.0%,0.7%,$0.08,$972,N/A,N/A,0.71,$16.19,$9.61
HTLF,HEARTLAND FINANCIAL USA INC,Financial Services,$55.86,2.0%,2.2%,$1.20,"$2,397",39.2,85.8%,0.53,$56.22,$25.59
HUBG,"Hub Group, Inc.",Industrials,$43.69,1.0%,0.1%,$0.25,"$2,716",23.6,0.0%,0.92,$48.39,$31.54
HUMA,"Humacyte, Inc.",N/A,$7.02,0.0%,0.0%,$0.00,$839,N/A,0.0%,1.65,$9.97,$1.96
HURN,Huron Consulting Group Inc.,Industrials,$107.63,0.0%,0.0%,$0.00,"$1,915",24.0,0.0%,0.33,$115.65,$84.26
